row,q,expected,predicted,score,threshold,T,A,D,S,S_eff,P,O,Q,M,X,G,B,gate_reason,escape_hatch_triggered
1,QA2,1,1,0.6869,0.5117,0.5945,0.7278,0.2099,0.45,0.45,0.0,0.0,0.8105,0.0,0.0,0.0,0.0,none,False
2,QA3,1,0,0.5058,0.6153,0.4649,0.6514,0.6211,0.9,0.9,0.0,0.0,0.744,0.0,0.0,0.0,0.0,none,False
3,QA1,1,1,0.653,0.5274,0.5914,0.7703,0.3484,0.55,0.55,0.0,0.0,0.8304,0.0,0.0,0.0,0.0,none,False
4,QA5,1,0,0.4271,0.4958,0.5779,0.5972,0.2086,0.25,0.25,0.0,0.0,0.7312,0.0,0.0,0.0202,0.0,none,False
5,QA4,1,1,0.6459,0.5605,0.5831,0.7146,0.4239,0.55,0.55,0.0,0.0,0.7968,0.0,0.0,0.0,0.0,none,False
6,QA6,1,1,0.6832,0.511,0.6702,0.7314,0.1527,0.55,0.5056,0.0,0.0,0.8282,0.0,0.0,0.0,0.0,none,False
7,QA10,1,0,0.5295,0.5443,0.5852,0.7438,0.2267,0.8,0.7361,0.0,0.0,0.8198,0.0,0.0,0.0,0.0,none,False
8,QA12,1,0,0.6066,0.6084,0.5095,0.7477,0.5229,0.9,0.9,0.0,0.0,0.7815,0.0,0.0,0.0,0.0,none,False
9,QA11,1,1,0.7059,0.5368,0.654,0.7429,0.1802,0.8,0.7365,0.0,0.0,0.814,0.0,0.0,0.0,0.0,none,False
10,QA7,1,1,0.7606,0.5112,0.685,0.7844,0.1023,0.8,0.7337,0.0,0.0,0.8501,0.0,0.0,0.0,0.0,none,False
11,QA8,1,0,0.5489,0.5491,0.5597,0.744,0.3558,0.8,0.7372,0.0,0.0,0.8057,0.0,0.0,0.0,0.0,none,False
12,QA9,1,1,0.7171,0.521,0.6454,0.8037,0.2424,0.8,0.7337,0.0,0.0,0.8498,0.0,0.0,0.0,0.0,none,False
13,QA16,1,1,0.6359,0.5351,0.5214,0.7452,0.4953,0.55,0.5063,0.0,0.0,0.8141,0.0,0.0,0.0,0.0,none,False
14,QA15,1,1,0.6476,0.5555,0.6687,0.7003,0.3537,0.55,0.55,0.0,0.0,0.7809,0.0,0.0,0.0,0.0,none,False
15,QA13,1,1,0.679,0.5328,0.5691,0.7598,0.4628,0.55,0.5066,0.0,0.0,0.8101,0.0,0.0,0.0,0.0,none,False
16,QA14,1,1,0.6674,0.5075,0.5904,0.7125,0.1002,0.55,0.5073,0.0,0.0,0.7956,0.0,0.0,0.0,0.0,none,False
17,QA18,1,1,0.5713,0.5458,0.6306,0.7902,0.2586,0.8,0.7344,0.0,0.0,0.8408,0.0,0.0,0.0,0.0,none,False
18,QA17,1,0,0.5611,0.6091,0.5351,0.6676,0.5334,0.9,0.9,0.0,0.0,0.7523,0.0,0.0,0.0,0.0,none,False
19,QB4,0,0,0.379,0.5012,0.5179,0.5585,0.2586,0.25,0.25,0.0,0.0,0.7187,0.0,0.0,0.056,0.0,none,False
20,QB1,0,1,0.6441,0.6025,0.5558,0.7695,0.4386,0.9,0.9,0.0,0.0,0.7988,0.0,0.0,0.0,0.0,none,False
21,QB2,0,0,0.5192,0.6103,0.5525,0.6502,0.5509,0.9,0.9,0.0,0.0,0.752,0.0,0.0,0.0,0.0,none,False
22,QA19,1,1,0.6695,0.5343,0.6797,0.8608,0.1489,0.8,0.7308,0.0,0.0,0.8872,0.0,0.0,0.0,0.0,none,False
23,QB3,0,0,0.5642,0.6056,0.4692,0.7124,0.4837,0.9,0.9,0.0,0.0,0.764,0.0,0.0,0.0,0.0,none,False
24,QB9,0,0,0.3805,0.4954,0.4865,0.5522,0.1743,0.25,0.25,0.0,0.0,0.6944,0.0,0.0,0.0588,0.0,none,False
25,QB8,0,0,0.5511,0.6045,0.4714,0.7057,0.4676,0.9,0.9,0.0,0.0,0.7602,0.0,0.0,0.0,0.0,none,False
26,QA20,1,1,0.6912,0.5104,0.6729,0.6818,0.1416,0.55,0.5076,0.0,0.0,0.7915,0.0,0.0,0.0,0.0,none,False
27,QB5,0,0,0.4318,0.4916,0.6283,0.5976,0.1166,0.25,0.25,0.0,0.0,0.741,0.0,0.0,0.0224,0.0,none,False
28,QB10,0,0,0.3947,0.4928,0.4907,0.5636,0.1522,0.25,0.25,0.0,0.0,0.6978,0.0,0.0,0.0465,0.0,none,False
29,QB6,0,0,0.4395,0.4976,0.6283,0.5886,0.2737,0.25,0.25,0.0,0.0,0.7379,0.0,0.0,0.0314,0.0,none,False
30,QB7,0,0,0.5704,0.6049,0.4822,0.709,0.4731,0.9,0.9,0.0,0.0,0.7579,0.0,0.0,0.0,0.0,none,False
31,QB12,0,0,0.5446,0.6064,0.4332,0.6906,0.4951,0.9,0.9,0.0,0.0,0.7479,0.0,0.0,0.0,0.0,none,False
32,QB13,0,0,0.5778,0.6095,0.442,0.7085,0.5384,0.9,0.9,0.0,0.0,0.7552,0.0,0.0,0.0,0.0,none,False
